ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,QTR_ID,MONTHS,MONTHS,YEAR_ID,DESCRIPTION,EXPENSES,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10104,44,39.6,1742.4,1/31/2003 0:00,Shipped,1,1,January,2003,Grocery shopping,50.25,Classic Cars,S24_2840,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,Spain,Freyre,Diego,Small
10104,35,55.49,1942.15,1/31/2003 0:00,Shipped,1,1,January,2003,Gasoline,35.8,Classic Cars,S24_1444,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,Spain,Freyre,Diego,Small
10104,26,100,2921.62,1/31/2003 0:00,Shipped,1,1,January,2003,Dinner with friends,65.5,Classic Cars,S24_4048,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,Spain,Freyre,Diego,Small
10103,22,54.09,1189.98,1/29/2003 0:00,Shipped,1,1,January,2003,Movie tickets,20,Trucks and Buses,S18_2432,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,Norway,Bergulfsen,Jonas,Small
10104,35,47.62,1666.7,1/31/2003 0:00,Shipped,1,1,January,2003,Coffee break,4.5,Trucks and Buses,S32_2509,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,Spain,Freyre,Diego,Small
10107,20,92.9,1858,2/24/2003 0:00,Shipped,1,2,February,2003,Utility bill,120,Motorcycles,S32_1374,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,USA,Yu,Kwai,Small
10107,29,70.87,2055.23,2/24/2003 0:00,Shipped,1,2,February,2003,Lunch at restaurant,18.75,Motorcycles,S18_2625,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,USA,Yu,Kwai,Small
10107,25,100,2845.75,2/24/2003 0:00,Shipped,1,2,February,2003,Shopping,90.2,Motorcycles,S24_1578,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,USA,Yu,Kwai,Small
10107,30,95.7,2871,2/24/2003 0:00,Shipped,1,2,February,2003,Gym membership,50,Motorcycles,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,USA,Yu,Kwai,Small
10109,29,32.1,930.9,3/10/2003 0:00,Shipped,1,3,March,2003,Public transportation,15,Classic Cars,S24_2972,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,USA,Hernandez,Rosa,Small
10110,29,59.37,1721.73,3/18/2003 0:00,Shipped,1,3,March,2003,Car maintenance,80,Classic Cars,S24_1628,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,UK,Ashworth,Victoria,Small
10108,26,68.35,1777.1,3/3/2003 0:00,Shipped,1,3,March,2003,Mobile phone bill,60,Classic Cars,S18_3278,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,Philippines,Cruz,Arnold,Small
10108,30,63.07,1892.1,3/3/2003 0:00,Shipped,1,3,March,2003,Home cleaning service,100,Classic Cars,S24_3371,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,Philippines,Cruz,Arnold,Small
10110,27,73.62,1987.74,3/18/2003 0:00,Shipped,1,3,March,2003,Dinner at fancy restaurant,85.5,Classic Cars,S24_3191,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,UK,Ashworth,Victoria,Small
10108,31,68.71,2130.01,3/3/2003 0:00,Shipped,1,3,March,2003,Books purchase,30,Classic Cars,S24_4620,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,Philippines,Cruz,Arnold,Small
10110,42,61.29,2574.18,3/18/2003 0:00,Shipped,1,3,March,2003,Medical expenses,75.3,Classic Cars,S18_4933,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,UK,Ashworth,Victoria,Small
10108,27,43.45,1173.15,3/3/2003 0:00,Shipped,1,3,March,2003,Movie streaming service,15.99,Motorcycles,S32_2206,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,Philippines,Cruz,Arnold,Small
10108,35,58.87,2060.45,3/3/2003 0:00,Shipped,1,3,March,2003,Coffee with friends,8.5,Motorcycles,S24_2360,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,Philippines,Cruz,Arnold,Small
10108,34,82.99,2821.66,3/3/2003 0:00,Shipped,1,3,March,2003,Clothing purchase,70,Motorcycles,S50_4713,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,Philippines,Cruz,Arnold,Small
10108,43,67.77,2914.11,3/3/2003 0:00,Shipped,1,3,March,2003,Home insurance,150,Motorcycles,S18_3782,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,Philippines,Cruz,Arnold,Small
10113,23,68.52,1575.96,3/26/2003 0:00,Shipped,1,3,March,2003,Dinner party supplies,45,Trucks and Buses,S32_3522,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,USA,Nelson,Valarie,Small
10114,24,30.06,721.44,4/1/2003 0:00,Shipped,2,4,April,2003,Pet grooming,25,Classic Cars,S24_2840,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",,Paris,,France,Bertrand,Marie,Small
10117,22,100,2780.58,4/16/2003 0:00,Shipped,2,4,April,2003,Electronics,200,Classic Cars,S18_4027,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,Singapore,Natividad,Eric,Small
10120,22,100,2461.36,4/29/2003 0:00,Shipped,2,4,April,2003,Dinner with family,75.6,Motorcycles,S32_1374,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,Australia,Ferguson,Peter,Small
10120,46,58.15,2674.9,4/29/2003 0:00,Shipped,2,4,April,2003,Snacks,10,Motorcycles,S18_2625,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,Australia,Ferguson,Peter,Small
